"","trueA","trueB","poolA","poolB","iclA","iclB","bilogA","bilogB","mirtA","mirtB","tamA","tamB","mirtPrA","mirtPrB"
"V1",2.752846,-0.688994,3.09714504422951,-0.681586416881393,2.772895,-0.671245,0.001,0,2.80174178376111,1.86609501963352,2.78555527401894,-0.6670132917466,2.77119229291279,1.8580547488153
"V2",1.197159,1.741803,1.28554077338954,1.6780771320467,1.430841,1.712417,1.43861,1.71943,1.51463790041573,-2.57453282252048,1.50861063886207,1.70860000870934,1.42814755101633,-2.44843844935399
"V3",1.407406,-0.569555,1.49629285358149,-0.504759899122039,1.447517,-0.585965,1.21979,-0.5638,1.50230767210922,0.87771471014245,1.4925949356981,-0.589109649286765,1.44687255448868,0.846732461499378
"V4",1.704605,-0.801064,1.69732276226333,-0.773110155005464,1.742561,-0.788007,1.72782,-0.78342,1.76543235815066,1.38071260630791,1.73425030578182,-0.781741679283391,1.7404477001108,1.37025463229153
"V5",1.809695,-0.416995,1.92576637071412,-0.400231616037173,1.879322,-0.406141,1.89336,-0.40648,1.89700456238682,0.76340115413388,1.86655011571609,-0.4004197541055,1.87760742309895,0.760563769480053
"V6",1.349575,0.828066,1.37726962049607,0.830760302548648,1.333839,0.850478,1.33533,0.85535,1.37449165199089,-1.17292256346833,1.3438679415783,0.85281395269725,1.33323843020467,-1.13613731009501
"V7",1.966985,-2.865159,2.06864122669125,-2.79540354209029,1.619121,-3.225776,1.64918,-3.19748,2.06658394798995,6.20337503873304,1.9886443745453,-3.03374280683702,1.60982598384151,5.20476139116312
"V8",1.590514,1.456276,1.74795987922395,1.33656090383038,1.689484,1.454206,1.68267,1.46043,1.73750704209336,-2.50695694153436,1.70675755206059,1.45566081560649,1.68942984792055,-2.459948836911
"V9",1.11383,-1.701585,1.21307798045915,-1.65248826853442,0.95535,-1.977316,1.01564,-1.96567,1.01820889387552,2.00271686952416,0.896175685904568,-1.96070032969372,0.951881210408042,1.88284720192803
"V10",0.984267,1.823369,1.14257347344278,1.57568327369072,0.586474,1.162282,0.001,0,-0.137843595764023,0.969865163599588,-0.0864142465727623,9.8759420612129,0.584772969295711,-0.679418048483247
"V11",1.394929,0.995623,1.51326399450879,1.00204173950188,1.447644,0.970392,1.44069,0.97387,1.47490797179932,-1.42679673000246,1.44831639018184,0.970911435766859,1.44605071131368,-1.40518206993855
"V12",1.588902,0.332017,1.59906869048989,0.273486927837012,1.574403,0.363071,1.52818,0.3545,1.59196850249624,-0.576966407105942,1.58488085293965,0.3708995719408,1.57471106172304,-0.57375204411589
"V13",0.952447,-2.137319,1.06409788818874,-1.91876287339004,0.920275,-2.367645,1.13611,-2.40307,2.12786008686077,5.24883289054627,3.44820802655845,-2.4853343292056,0.913026494941748,2.16330581584495
"V14",2.122777,-0.607283,2.20456564025588,-0.598312821582617,2.060283,-0.619719,2.06034,-0.61911,2.08045239437085,1.27894727355995,2.0686345513999,-0.615925604109091,2.05818178716605,1.27391381770088
"V15",1.576348,-1.489965,1.74839678596349,-1.3230952557617,1.575379,-1.544178,1.45236,-1.54092,1.62478978628921,2.48177329690897,1.60777674320072,-1.53173639141143,1.57340588535032,2.42992531951026
"V16",1.574278,-1.405087,1.75474685803464,-1.23612153634877,1.545604,-1.446485,1.49023,-1.43271,1.58169887103586,2.26616387914895,1.56717297447755,-1.43502771534642,1.54335321543734,2.23266010702813
"V17",0.911216,1.446933,0.951427952180359,1.34758015046858,0.85068,1.059587,1.14347,1.37769,-0.446730475512587,2.65936813017413,7.10159933827151,2.27350089125178,0.851197688796188,-0.907807396212886
"V18",1.082929,-1.372976,1.15108819458989,-1.38022571816431,0.687585,-1.10195,0.81304,-1.26327,0.268590251114561,-0.1947251486192,-0.00682522988014324,-120.805625451057,0.685582798265922,0.754245861122494
"V19",0.875618,2.509732,0.929675459875185,2.35488616166089,0.839601,2.854757,0.001,0,1.41281892698975,-3.80225775113632,1.26814429018147,2.72993369661825,0.838993031806737,-2.39857749003864
"V20",1.641901,1.052479,1.72710247047891,0.996878743400126,1.755451,1.066657,1.74397,1.06986,1.7849354649151,-1.89317091517606,1.79942137092784,1.07366493853768,1.75293474805081,-1.87238220444419
"V21",1.718799,-0.400489,1.89614944942279,-0.371420622030525,1.672783,-0.418635,1.65724,-0.42027,1.68956092811887,0.700740566654321,1.67432802836484,-0.413623742055298,1.67084446282699,0.697656732386205
"V22",1.549254,0.236053,1.54351646148212,0.272369390817307,1.621768,0.247355,1.56843,0.23869,1.63875846783522,-0.405475051950942,1.60756750045553,0.253713224788282,1.6217129261887,-0.403220788017051
"V23",1.158897,3.865583,1.0976119966027,3.89470871355793,0.726494,4.365802,0.001,0,0.61113304863178,-2.84391312138744,0.0202408294802868,63.3470452580046,0.723288616485052,-3.16782002414077
"V24",1.046974,-4.191815,1.11209932996661,-4.03460401260033,0.787949,-4.03952,1.01306,-3.82997,1.71454529188853,6.04770681344471,-1.86651370474539,-2.43894698776396,0.790060597635935,3.20292784550743
"V25",1.445395,-3.462512,1.61816750934262,-3.12000071603111,0.697308,-4.258784,0.84621,-3.95517,0.307449292002138,1.97888355833484,-0.321145304668628,1.30962167245918,0.6934064067256,2.96241107739162
"V26",1.65047,-2.127139,1.79256823615664,-2.00499726411072,1.611473,-2.193212,1.58147,-2.17981,1.73344069807259,3.72197493020201,1.7240037017066,-2.15127035763462,1.60801937307988,3.52897185935798
"V27",1.481617,-3.142176,1.5896124649075,-2.85019374608947,1.054924,-3.334559,1.17015,-3.22812,1.59024236443831,4.76386082594405,1.63777928494988,-2.98104329430682,1.05281778403209,3.51509085262415
"V28",1.618662,1.028508,1.6224060216884,1.00242484781853,1.735383,1.041289,1.72298,1.04465,1.76174198171154,-1.82485695165581,1.77278862558124,1.04844143800097,1.73350211564781,-1.80754989919697
"V29",1.615743,0.12513,1.69392197111567,0.118955454824348,1.529368,0.133437,1.48496,0.12501,1.54442319071651,-0.207221054604042,1.52413150602699,0.139724117751253,1.52929144007216,-0.205978674462704
"V30",0.832164,1.846511,0.944982504505718,1.68811217840352,0.766366,2.298429,1.00954,2.34234,-1.42081829057774,4.46870933983567,3.06733797345555,2.65749701452079,0.765385858186673,-1.76611170343711
"V31",1.455017,-1.187985,1.49218247537645,-1.13358872841136,1.289361,-1.275567,1.25505,-1.25759,1.31577599500795,1.66413504631114,1.30138435549623,-1.26729380425437,1.28779148145534,1.64242222191867
"V32",1.446176,1.315378,1.47855535885152,1.30750243525636,1.36733,1.333631,1.36281,1.33937,1.40556815918895,-1.86409046020359,1.38348538274601,1.33980150362791,1.36684908223213,-1.82526457641388
"V33",1.648509,1.038455,1.68316243747982,1.02320460969422,1.492752,1.073697,1.48078,1.07644,1.518476028933,-1.62051003007072,1.53260069499832,1.0805778109613,1.49347257152073,-1.6059020179328
"V34",1.823028,0.498577,1.78694684112504,0.533284448998812,1.860915,0.506308,1.81685,0.50103,1.88061674425717,-0.948863673805704,1.87139218686111,0.514118467540186,1.86083249186734,-0.944620996415923
"V35",1.424882,0.11115,1.42858964252411,0.146702193899851,1.698218,0.100448,1.58048,0.07999,1.75489678126654,-0.18171884914068,1.62529656092919,0.103583899986861,1.69879620505017,-0.172310372596958
"V36",1.172988,2.29511,1.26585860384035,2.11710474098888,1.156109,2.315555,1.21299,2.31323,1.37501783724589,-3.11581583885351,1.27554879833572,2.29295648967814,1.15273427070398,-2.6727185510509
"V37",2.46123,-0.232153,2.59395542353216,-0.219261710492931,2.422092,-0.217304,2.43004,-0.21829,2.442668220781,0.524871744693958,2.40966552041002,-0.211236094131523,2.42117744139749,0.52356677316629
"V38",1.592695,0.614839,1.58009136023739,0.572317459020875,1.458975,0.624777,1.43392,0.62145,1.47923713043576,-0.921504206943575,1.45329498216284,0.628572128279465,1.45836236363956,-0.913062852665151
"V39",1.512822,-0.432497,1.43928757118318,-0.385433435098475,1.470752,-0.411987,1.45905,-0.41292,1.49423463549398,0.611398327711591,1.49466827231665,-0.408628953607537,1.4719800833544,0.605416929360376
